# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Cloud,127,73.0,USD/month
4,N-Static,127,0.0,USD/month
4,N-Dynamic,128,876.0,USD/month
4,N-Cloud,128,73.0,USD/month
4,N-Static,128,0.0,USD/month
4,N-Dynamic,129,930.75,USD/month
4,N-Cloud,129,73.0,USD/month
4,N-Static,129,0.0,USD/month
4,N-Dynamic,130,930.75,USD/month
4,N-Cloud,130,73.0,USD/month
4,N-Static,130,0.0,USD/month
4,N-Dynamic,131,930.75,USD/month
4,N-Cloud,131,73.0,USD/month
4,N-Static,131,0.0,USD/month
4,N-Dynamic,132,930.75,USD/month
4,N-Cloud,132,73.0,USD/month
4,N-Static,132,0.0,USD/month
4,N-Dynamic,133,930.75,USD/month
4,N-Cloud,133,73.0,USD/month
4,N-Static,133,0.0,USD/month
4,N-Dynamic,134,930.75,USD/month
4,N-Cloud,134,73.0,USD/month
4,N-Static,134,0.0,USD/month
4,N-Dynamic,135,930.75,USD/month
4,N-Cloud,135,73.0,USD/month
4,N-Static,135,0.0,USD/month
4,N-Dynamic,136,930.75,USD/month
4,N-Cloud,136,73.0,USD/month
4,N-Static,136,0.0,USD/month
4,N-Dynamic,137,985.5,USD/month
4,N-Cloud,137,73.0,USD/month
4,N-Static,137,0.0,USD/month
4,N-Dynamic,138,985.5,USD/month
4,N-Cloud,138,73.0,USD/month
4,N-Static,138,0.0,USD/month
4,N-Dynamic,139,985.5,USD/month
4,N-Cloud,139,73.0,USD/month
4,N-Static,139,0.0,USD/month
4,N-Dynamic,140,985.5,USD/month
4,N-Cloud,140,73.0,USD/month
4,N-Static,140,0.0,USD/month
4,N-Dynamic,141,985.5,USD/month
4,N-Cloud,141,73.0,USD/month
4,N-Static,141,0.0,USD/month
4,N-Dynamic,142,985.5,USD/month
4,N-Cloud,142,73.0,USD/month
4,N-Static,142,0.0,USD/month
4,N-Dynamic,143,985.5,USD/month
4,N-Cloud,143,73.0,USD/month
4,N-Static,143,0.0,USD/month
4,N-Dynamic,144,985.5,USD/month
4,N-Cloud,144,73.0,USD/month
4,N-Static,144,0.0,USD/month
4,N-Dynamic,145,1040.25,USD/month
4,N-Cloud,145,73.0,USD/month
4,N-Static,145,0.0,USD/month
4,N-Dynamic,146,1040.25,USD/month
4,N-Cloud,146,73.0,USD/month
4,N-Static,146,0.0,USD/month
4,N-Dynamic,147,1040.25,USD/month
4,N-Cloud,147,73.0,USD/month
4,N-Static,147,0.0,USD/month
4,N-Dynamic,148,1040.25,USD/month
4,N-Cloud,148,73.0,USD/month
4,N-Static,148,0.0,USD/month
4,N-Dynamic,149,1040.25,USD/month
4,N-Cloud,149,73.0,USD/month
4,N-Static,149,0.0,USD/month
4,N-Dynamic,150,1040.25,USD/month
4,N-Cloud,150,73.0,USD/month
4,N-Static,150,0.0,USD/month
4,N-Dynamic,151,1040.25,USD/month
4,N-Cloud,151,73.0,USD/month
4,N-Static,151,0.0,USD/month
4,N-Dynamic,152,1040.25,USD/month
4,N-Cloud,152,73.0,USD/month
4,N-Static,152,0.0,USD/month
4,N-Dynamic,153,1095.0,USD/month
4,N-Cloud,153,73.0,USD/month
4,N-Static,153,0.0,USD/month
4,N-Dynamic,154,1095.0,USD/month
4,N-Cloud,154,73.0,USD/month
4,N-Static,154,0.0,USD/month
4,N-Dynamic,155,1095.0,USD/month
4,N-Cloud,155,73.0,USD/month
4,N-Static,155,0.0,USD/month
4,N-Dynamic,156,1095.0,USD/month
4,N-Cloud,156,73.0,USD/month
4,N-Static,156,0.0,USD/month
4,N-Dynamic,157,1095.0,USD/month
4,N-Cloud,157,73.0,USD/month
4,N-Static,157,0.0,USD/month
4,N-Dynamic,158,1095.0,USD/month
4,N-Cloud,158,73.0,USD/month
4,N-Static,158,0.0,USD/month
4,N-Dynamic,159,1095.0,USD/month
4,N-Cloud,159,73.0,USD/month
4,N-Static,159,0.0,USD/month
4,N-Dynamic,160,1095.0,USD/month
4,N-Cloud,160,73.0,USD/month
4,N-Static,160,0.0,USD/month
4,N-Dynamic,161,1149.75,USD/month
4,N-Cloud,161,73.0,USD/month
4,N-Static,161,0.0,USD/month
4,N-Dynamic,162,1149.75,USD/month
4,N-Cloud,162,73.0,USD/month
4,N-Static,162,0.0,USD/month
4,N-Dynamic,163,1149.75,USD/month
4,N-Cloud,163,73.0,USD/month
4,N-Static,163,0.0,USD/month
4,N-Dynamic,164,1149.75,USD/month
4,N-Cloud,164,73.0,USD/month
4,N-Static,164,0.0,USD/month
4,N-Dynamic,165,1149.75,USD/month
4,N-Cloud,165,73.0,USD/month
4,N-Static,165,0.0,USD/month
4,N-Dynamic,166,1149.75,USD/month
4,N-Cloud,166,73.0,USD/month
4,N-Static,166,0.0,USD/month
4,N-Dynamic,167,1149.75,USD/month
4,N-Cloud,167,73.0,USD/month
4,N-Static,167,0.0,USD/month
4,N-Dynamic,168,1149.75,USD/month
4,N-Cloud,168,73.0,USD/month
4,N-Static,168,0.0,USD/month
